G#,G,F#,F,E,D#,D,C#,C,B,A#,A
0.04026654,0.003236554,0.280533079,0.011232746,0.027225131,0.032079962,0.390575916,0.008091385,0.029319372,0.011327939,0.162874822,0.003236554
0.028106509,0.011587771,0.148791913,0.058678501,0.098372781,0.031558185,0.208210059,0.001602564,0.053994083,0.166050296,0.168145957,0.024901381
0.040148814,0.024647341,0.287397303,0.037823593,0.097039219,0.0452643,0.265540226,0.003875368,0.010696016,0.118276236,0.059215625,0.010075957
0.031338664,0.019215889,0.191643023,0.037657983,0.030693835,0.024503482,0.462470983,0.00748001,0.013025535,0.057647666,0.083182873,0.041140057
0.06993085,0.026990854,0.443341512,0.041601606,0.06948472,0.010595583,0.102721392,0.008141869,0.080080303,0.082980147,0.024425608,0.039705554
0.088558271,0.021726296,0.179005786,0.12858661,0.058330381,0.105679537,0.197780139,0.010626993,0.034124454,0.041917582,0.113354587,0.020309364
0.071824973,0.098185699,0.122945571,0.157417289,0.051760939,0.042369264,0.07588047,0.003735326,0.042582711,0.054429029,0.192742796,0.086125934
0.033673551,0.010608374,0.489271076,0.024190308,0.066784537,0.03439685,0.196415655,0.004420156,0.008599212,0.021297115,0.10568191,0.004661255
0.017363752,0.00278834,0.131939163,0.016096324,0.024968314,0.041444867,0.573003802,0.015969582,0.103802281,0.05513308,0.015209125,0.002281369
0.069960444,0.010393237,0.203443729,0.029007989,0.180485535,0.041572947,0.176142093,0.003878073,0.024586985,0.037694873,0.176840146,0.04599395
0.031534263,0.027410552,0.449969679,0.022680412,0.022559127,0.036021831,0.249484536,0.001091571,0.011279563,0.038811401,0.10733778,0.001819284
0.083353293,0.009341317,0.344790419,0.010179641,0.056167665,0.078323353,0.187784431,0.002874251,0.01005988,0.026826347,0.174491018,0.015808383
0.025384737,0.008726003,0.236395367,0.069332064,0.117880374,0.022528954,0.250039664,0.009677931,0.053466603,0.049182929,0.138188164,0.019197208
0.102409639,0.018853191,0.287594824,0.086903168,0.101963409,0.028558679,0.184181169,0.010040161,0.042280232,0.028558679,0.069053994,0.039602856
0.044410745,0.005740901,0.270363951,0.022097054,0.088929809,0.008990468,0.196923744,0.006932409,0.017764298,0.059142114,0.267872617,0.010831889
0.323194799,0.023334107,0.174715579,0.092291618,0.06710007,0.034478756,0.03993499,0.001393081,0.006733225,0.056651962,0.150452751,0.029719062
0.035030042,0.00272078,0.374900805,0.018138533,0.219136152,0.03208253,0.163586895,0.002153951,0.003287609,0.034236481,0.110531686,0.004194536
0.096538508,0.002994371,0.300035932,0.053180022,0.066954126,0.050544975,0.228889687,0.002754821,0.004072344,0.096778057,0.082405078,0.014852078
0.008453159,0.005228758,0.362265795,0.008278867,0.038867102,0.008976035,0.300653595,0.007058824,0.007930283,0.007233115,0.238082789,0.006971678
0.01991914,0.027709299,0.107583079,0.020708017,0.055714427,0.014594221,0.302139828,0.005127699,0.014101173,0.046740953,0.375702593,0.00995957
0.049571126,0.008577476,0.13835357,0.030188259,0.076528907,0.01347889,0.44736549,0.011362371,0.02829453,0.035646653,0.137796591,0.022836137
0.031938762,0.044740663,0.10030355,0.006730896,0.029827108,0.006862874,0.698033523,0.005015178,0.00725881,0.015441468,0.04658836,0.00725881
0.018051282,0.008205128,0.342153846,0.021641026,0.095794872,0.015384615,0.423794872,0.003589744,0.013846154,0.020410256,0.027384615,0.00974359
0.039129503,0.021119211,0.323327616,0.056174957,0.026801029,0.017795883,0.366745283,0.005789022,0.021440823,0.060999142,0.039343911,0.021333619
0.035752979,0.009209101,0.276814735,0.010400867,0.016793066,0.032827736,0.439869989,0.002058505,0.019501625,0.010400867,0.143011918,0.003358613
0.071326832,0.028158212,0.415361017,0.040429495,0.096965049,0.046893831,0.097293744,0.014462584,0.031445163,0.015558234,0.129396297,0.012709543
0.024956971,0.00835997,0.382099828,0.023358741,0.038234571,0.015982297,0.32444062,0.000737644,0.01819523,0.046840423,0.10437669,0.012417015
0.037506717,0.010854379,0.456098872,0.032778076,0.012573885,0.012036539,0.184739387,0.008490059,0.102525524,0.015690489,0.095432563,0.031273509
0.012795451,0.004442865,0.395503821,0.003643149,0.043984361,0.011640306,0.359960903,0.015194597,0.007108584,0.02168118,0.123333926,0.000710858
0.034471292,0.028042563,0.19053425,0.05231656,0.050764797,0.050321436,0.349479051,0.015960984,0.008091332,0.024939038,0.192196852,0.002881844
0.03788283,0.002667805,0.324831928,0.006509444,0.055063494,0.016113542,0.315334543,0.002881229,0.012698751,0.024650518,0.18941415,0.011951766
0.062952581,0.011796309,0.185120299,0.018687223,0.109787433,0.061901425,0.175776688,0.008058865,0.040294324,0.110955384,0.196683018,0.017986452
0.006497342,0.002953337,0.463673952,0.020968695,0.05463674,0.001181335,0.360602481,0.000590667,0.018606025,0.012404017,0.053160071,0.00472534
0.054644809,0.029583569,0.297625777,0.014980215,0.059732429,0.04013567,0.214622197,0.003485962,0.036838138,0.020821556,0.2133974,0.014132278
0.050915211,0.000525984,0.511992426,0.009993688,0.048285293,0.005785819,0.217862403,0.001998738,0.015358721,0.044813802,0.09004839,0.002419525
0.076421249,0.010179941,0.247401247,0.025378163,0.107462901,0.019284537,0.281668937,0.001577174,0.006380386,0.02358592,0.189260879,0.011398667
0.041384695,0.012883915,0.256246746,0.00702759,0.054789172,0.004034357,0.278630921,0.0048152,0.012233212,0.111400312,0.209656429,0.006897449
0.010549249,0.005274624,0.428849903,0.021901158,0.051140924,0.012269235,0.257424607,0.008141268,0.006879945,0.049306272,0.144478844,0.00378397
0.019331586,0.000218436,0.319134993,0.004587156,0.045434688,0.009501966,0.482634338,0.000873744,0.009392748,0.01419834,0.089121887,0.005570118
0.035889962,0.021133175,0.157041355,0.04217526,0.249681181,0.050737839,0.221260703,0.003188195,0.004918929,0.024412461,0.173437785,0.016123155
0.042888516,0.017310425,0.363002196,0.047926624,0.058261207,0.057615295,0.259398011,0.004133833,0.006200749,0.016406149,0.10554192,0.021315076
0.036019076,0.007781124,0.189633534,0.046937751,0.074422691,0.014056225,0.427836345,0.00251004,0.017319277,0.020707831,0.137424699,0.025351406
0.1,0.129025424,0.084216102,0.061970339,0.110487288,0.141207627,0.049894068,0.007838983,0.02934322,0.06059322,0.165148305,0.060275424
0.116868676,0.01945958,0.268431002,0.067941732,0.051039698,0.080951851,0.085844546,0.013343712,0.050372512,0.054375625,0.173357055,0.018014011
0.03552492,0.004772004,0.245811241,0.042629905,0.038918346,0.029798515,0.333828208,0.000212089,0.073488865,0.060445387,0.109331919,0.0252386
0.079538247,0.016744894,0.548902702,0.023848789,0.067106432,0.05404034,0.032221236,0.014588355,0.005835342,0.036153749,0.110617785,0.010402131
0.063505504,0.012277731,0.163738357,0.070279424,0.074195597,0.039161727,0.338801863,0.006244708,0.026778154,0.095681626,0.089754445,0.019580864
0.051100458,0.013401613,0.225975158,0.027130094,0.041948137,0.023425583,0.39191545,0.009915014,0.031379385,0.033885378,0.122466768,0.027456962
0.056809487,0.004877582,0.436208875,0.024005356,0.09630834,0.004877582,0.303940321,0.002199694,0.003060444,0.00506886,0.058722265,0.003921194
0.040343707,0.000628733,0.23064026,0.010269307,0.193125851,0.023263125,0.379545216,0.002200566,0.005029865,0.071570785,0.035209054,0.00817353
0.038696183,0.030852362,0.389576434,0.038173261,0.024054384,0.039044797,0.183545407,0.016907792,0.009063971,0.017430713,0.209865784,0.002788914
0.044777427,0.01191728,0.153960743,0.124605678,0.086487907,0.027953032,0.211619348,0.000262881,0.005432878,0.032246758,0.297318612,0.003417455
0.014723017,0.012392755,0.295837305,0.02806906,0.129223599,0.063658511,0.369876072,0.002859867,0.015252622,0.018006567,0.039190764,0.010909861
0.171700531,0.060772469,0.094728171,0.043565806,0.114680578,0.045304778,0.18350723,0.001372872,0.051803039,0.054640308,0.044572579,0.133351638
0.064079296,0.017590395,0.247521988,0.030294569,0.09269859,0.024151892,0.186374424,0.010191261,0.029736144,0.044953232,0.224068128,0.028340081
0.040801433,0.006236317,0.385722816,0.046838718,0.091156372,0.030982552,0.152988788,0.004113315,0.029257613,0.057453725,0.14217475,0.012273602
0.019455748,0.020091556,0.366734486,0.07121058,0.042344863,0.169252289,0.128814852,0.016276704,0.033697864,0.020727365,0.1017294,0.009664293
0.0576,0.00576,0.26112,0.02528,0.034133333,0.006186667,0.481813333,0.002453333,0.005226667,0.005546667,0.104,0.01088
0.020855473,0.004649309,0.065887354,0.008103082,0.119420829,0.031349628,0.318942614,0.018597237,0.015541977,0.033873539,0.353347503,0.009431456
0.025248756,0.02300995,0.199378109,0.017288557,0.052487562,0.058706468,0.398756219,0.035572139,0.027860697,0.040174129,0.108706468,0.012810945
0.063978495,0.005053763,0.339569892,0.032795699,0.027741935,0.025376344,0.322365591,0.007634409,0.017849462,0.040322581,0.080107527,0.037204301
0.030295773,0.013770806,0.310501736,0.043228356,0.03628308,0.022751766,0.349898216,0.00371213,0.008501976,0.068494791,0.105496348,0.007065022
0.031048338,0.01412395,0.252648241,0.036649215,0.067575794,0.050042615,0.321563375,0.002922197,0.03628394,0.084378424,0.065992938,0.036770973
0.071367048,0.019318322,0.257290513,0.038882737,0.068783069,0.099790821,0.211517165,0.012304663,0.072966654,0.049464747,0.090193183,0.008121078
0.066984446,0.031736076,0.208730557,0.01818866,0.060712494,0.030607125,0.196437531,0.003010537,0.011164074,0.045785248,0.317987958,0.008655294
0.011678645,0.007058522,0.402849076,0.078542094,0.088680698,0.017325462,0.073023614,0.01937885,0.061088296,0.098947639,0.128593429,0.012833676
0.020439979,0.013337953,0.348692188,0.094491599,0.094318379,0.023038282,0.068508574,0.016369305,0.064697731,0.115537849,0.12749004,0.013078122
0.030229479,0.010370697,0.477714034,0.063106796,0.060458959,0.006619594,0.207634598,0.001544572,0.007943513,0.052074139,0.073477493,0.008826125
0.110441263,0.061374864,0.158000502,0.110273801,0.059281588,0.066231265,0.214351503,0.008540568,0.019090681,0.047977895,0.122833459,0.021602612
0.071731844,0.004916201,0.147150838,0.023910615,0.064692737,0.032960894,0.506592179,0.01150838,0.00424581,0.025363128,0.090391061,0.016536313
0.094712588,0.001091438,0.182634004,0.087315062,0.063667233,0.007033713,0.391341256,0.000121271,0.019403347,0.041232113,0.110113995,0.00133398
0.027006369,0.010700637,0.136305732,0.109808917,0.095796178,0.073630573,0.309044586,0.024968153,0.067261146,0.051719745,0.073121019,0.020636943
0.051871713,0.01608745,0.238630504,0.015571826,0.053521708,0.04475611,0.391358152,0.006496855,0.011653089,0.046096731,0.118490255,0.005465608
0.078695029,0.007053896,0.376722143,0.006172159,0.023255814,0.046621845,0.221095558,0.009699107,0.011352364,0.028656453,0.156838973,0.033836658
0.008376194,0.02277737,0.482880235,0.011903012,0.019691403,0.019544453,0.297575312,0,0.000293902,0.002351212,0.134459956,0.000146951
0.024408683,0.016848472,0.235338589,0.048277352,0.112215142,0.054217518,0.402419268,0.006372178,0.00928826,0.00248407,0.084242359,0.003888109
0.028723115,0.010073509,0.201470188,0.038115981,0.050231418,0.070242309,0.334876123,0.001497414,0.016879935,0.065886197,0.154505854,0.027497958
0.04038285,0.001442245,0.340107513,0.058476465,0.016389144,0.013897994,0.314015996,0,0.066867707,0.076176741,0.065294349,0.006948997
0.074267888,0.009157693,0.142195834,0.048606219,0.250679279,0.032102244,0.160712489,0.007748818,0.018919191,0.071852672,0.151554795,0.032202878
0.026902281,0.009758671,0.36489516,0.027693525,0.039166557,0.03257286,0.313596202,0.009494923,0.006066201,0.051958328,0.103521034,0.014374258
0.013896865,0.001033651,0.222349833,0.027449179,0.192029402,0.011255312,0.426783048,0.0004594,0.001263351,0.002986103,0.099345354,0.001148501
0.011896265,0.001070664,0.259814418,0.064120866,0.081489412,0.087080657,0.294789436,0.048536759,0.006780871,0.02426838,0.091839163,0.02831311
0.032346951,0.028273631,0.232898047,0.051275908,0.059542351,0.05475021,0.39559123,0.004312927,0.005151551,0.019288367,0.111776686,0.004792141
0.039078244,0.037939192,0.314728818,0.020853413,0.056426882,0.034259178,0.327959345,0.006308595,0.011740997,0.023744852,0.112678524,0.014281959
0.11125158,0.007585335,0.30223948,0.086960448,0.052374932,0.066732888,0.23144302,0.003250858,0.014448257,0.006592017,0.109897056,0.007224129
0.021084337,0.02527969,0.418567126,0.023988812,0.055292599,0.021837349,0.25613167,0.00957401,0.061531842,0.046579174,0.029582616,0.030550775
0.049739195,0.06147541,0.216281669,0.03064456,0.073863636,0.033066319,0.293125931,0.008196721,0.045361401,0.048994039,0.114195231,0.025055887
0.025499019,0.005422868,0.618206992,0.019037729,0.01315334,0.003576786,0.193838699,0.002307604,0.005076728,0.014768663,0.07822776,0.020883812
0.020862729,0.001914937,0.257508567,0.041927031,0.096956259,0.033662568,0.262951018,0.003527515,0.019149365,0.080124975,0.173049788,0.008365249
0.030668375,0.003466205,0.265616758,0.082058624,0.025996534,0.014693693,0.300580212,0.024489488,0.089593851,0.061110692,0.086655113,0.015070454
0.030091533,0.049656751,0.244393593,0.013386728,0.011327231,0.03409611,0.326773455,0.023112128,0.02791762,0.054004577,0.179977117,0.005263158
0.025336927,0.017520216,0.329919137,0.010242588,0.034636119,0.00916442,0.248180593,0.002088949,0.004986523,0.029649596,0.281401617,0.006873315
0.027839255,0.012114153,0.150611532,0.031566686,0.037623762,0.010017472,0.581595807,0.000232964,0.000116482,0.036225976,0.108677927,0.003377985
0.023728429,0.052565849,0.479223433,0.089237057,0.067098093,0.057561308,0.113306085,0.010217984,0.058583106,0.017824705,0.020663034,0.009990917
0.017597639,0.014532243,0.237624886,0.079700272,0.033038147,0.048932788,0.387375114,0.000908265,0.014986376,0.013056312,0.150317893,0.001930064
0.011183225,0.000898652,0.096455317,0.043934099,0.075087369,0.062606091,0.605691463,0.0001997,0.003794309,0.014777833,0.084872691,0.000499251
0.007101292,0.004043791,0.453890916,0.025249038,0.011440971,0.003747904,0.45034027,0.003057501,0.005720485,0.013808068,0.017358714,0.004241049
0.040035732,0.015185967,0.229576092,0.038411564,0.054896865,0.029965892,0.382085431,0.010638298,0.026230307,0.031021601,0.131313952,0.010638298
0.028956812,0.004826135,0.312090088,0.00717733,0.057542383,0.002227447,0.361960153,0.001608712,0.0084148,0.033164212,0.172998391,0.009033535
0.0117811,0.000253357,0.147327084,0.003166962,0.02014188,0.001140106,0.565872815,0.00164682,0.001900177,0.01760831,0.226374462,0.002786927
0.030934188,0.007764358,0.648631994,0.025757949,0.043135322,0.064333251,0.07702736,0.002341632,0.010722209,0.045846685,0.0287158,0.014789253
0.031516239,0.006277625,0.216706169,0.011594389,0.062263788,0.022356031,0.198065467,0.014797258,0.021907629,0.121644994,0.286913074,0.005957338
0.013312753,0.011093961,0.342465753,0.039166506,0.044472313,0.103415011,0.178661007,0.003858769,0.008585761,0.116148948,0.127339379,0.011479838
0.028039317,0.063010864,0.104190378,0.034868081,0.179513709,0.032695292,0.224211071,0.007346094,0.022969477,0.195137093,0.002793585,0.105225039
0.052530017,0.009969983,0.198863636,0.027765866,0.070218696,0.019189537,0.277658662,0.003537736,0.014043739,0.021119211,0.286342196,0.01876072
0.029068618,0.02115879,0.305418232,0.033715642,0.073956891,0.029562982,0.246588887,0.000593237,0.002274076,0.015918529,0.227506427,0.01423769
0.082110647,0.026383093,0.232198142,0.004845874,0.019114282,0.008614888,0.426436936,0.000807646,0.023825549,0.078610849,0.075245659,0.021806434
0.017202246,0.017441166,0.380360769,0.008362203,0.030940151,0.013857365,0.367698005,0.004539482,0.003583801,0.001672441,0.14789153,0.006450842
0.022798487,0.014262561,0.313776337,0.009940573,0.127822798,0.048838466,0.263857374,0.003349541,0.017504052,0.016207455,0.141545111,0.020097245
0.098772763,0.037410926,0.094022169,0.044140934,0.086500396,0.02246635,0.383214568,0.002672209,0.028899446,0.015142518,0.163400633,0.023357086
0.060542797,0.015193691,0.319531431,0.038854094,0.057295291,0.067617722,0.282185108,0.013337973,0.044653213,0.014961726,0.073300858,0.012526096
0.055092717,0.039505509,0.105348025,0.07202365,0.113410374,0.054555227,0.245364149,0.014243483,0.033861865,0.062617576,0.170921795,0.03305563
0.02452501,0.00513765,0.202694843,0.060585498,0.12863513,0.039841024,0.246801086,0.002326483,0.024718883,0.022004653,0.223730128,0.018999612
0.040395627,0.008016658,0.148256117,0.056949505,0.164393545,0.046850599,0.262155128,0.013118168,0.054450807,0.033940656,0.135658511,0.03581468
0.030015065,0.017846796,0.262371074,0.059334801,0.041372117,0.072314289,0.31463669,0.014370147,0.035461815,0.030246842,0.115888284,0.006142079
0.095541401,0.002747596,0.31534907,0.043961534,0.021481204,0.025477707,0.166854003,0.087173723,0.003621831,0.007243662,0.21656051,0.013987761
0.051119967,0.042325134,0.107874124,0.064174797,0.108423801,0.169987632,0.091383812,0.004672255,0.04301223,0.137831524,0.164353442,0.014841281
0.083312973,0.050207672,0.196310774,0.014903494,0.030295627,0.012215978,0.410701197,0.001588077,0.013315417,0.038113853,0.116662595,0.032372343
0.034988713,0.004514673,0.376834086,0.010722348,0.130079007,0.047827314,0.188910835,0.008747178,0.030615124,0.02525395,0.13261851,0.008888262
0.024432334,0.00390554,0.464123524,0.000544959,0.021344233,0.001089918,0.267665758,0.001907357,0.000454133,0.020163488,0.19164396,0.002724796
0.020465995,0.007346767,0.326406381,0.034634761,0.163937867,0.018261965,0.257451721,0.004722922,0.020361041,0.020675903,0.122586062,0.003148615
0.12018993,0.002967653,0.236620833,0.014937185,0.130972401,0.082203977,0.250272035,0.00395687,0.01919082,0.029478682,0.096151944,0.013057671
0.018242123,0.001421464,0.118455342,0.012556266,0.233120114,0.019189765,0.350864724,0.001184553,0.042051647,0.059701493,0.141435679,0.00177683
0.049166362,0.021905805,0.216745771,0.007667032,0.05951077,0.032128514,0.342825849,0.006328344,0.02701716,0.048071072,0.176706827,0.011926494
0.241126761,0.110422535,0.226103286,0.021314554,0.049765258,0.081502347,0.097652582,0.006197183,0.040469484,0.014366197,0.085821596,0.025258216
0.017824497,0.027536563,0.166476234,0.055530165,0.032449726,0.02845064,0.364145338,0.001942413,0.016224863,0.046732176,0.237774223,0.004913163
0.051703739,0.032891623,0.418480833,0.028513961,0.038334122,0.013369617,0.258637009,0.007690487,0.014789399,0.044013251,0.078679602,0.012896356
0.03101425,0.012932583,0.480062268,0.021434559,0.036522572,0.016165729,0.245359837,0.014609029,0.034007903,0.042390133,0.048616932,0.016884205
0.029241179,0.001208313,0.295915901,0.013049783,0.048453359,0.009424843,0.423030449,0.000362494,0.007008217,0.013412276,0.140285162,0.018608023
0.019371785,0.009740615,0.245485389,0.023311809,0.054941447,0.049469191,0.436686002,0.001641677,0.016416767,0.012367298,0.117106271,0.013461749
0.022461815,0.014263252,0.368710692,0.056266846,0.081985624,0.025831087,0.270889488,0.009995508,0.014150943,0.037061995,0.096698113,0.001684636
0.049156519,0.028376718,0.213383979,0.08390124,0.064238633,0.104122444,0.1748408,0.017651659,0.018098536,0.03854318,0.184225226,0.023461066
0.013490241,0.004448909,0.304104478,0.027267509,0.146814007,0.00717566,0.358639495,0.000861079,0.001578645,0.033725603,0.100889782,0.001004592
0.041441066,0.035401916,0.213452728,0.107038734,0.069658476,0.04060808,0.156913786,0.003331945,0.013223657,0.019887547,0.21032903,0.088713036
0.043752251,0.014494058,0.246489017,0.04546273,0.038620814,0.014944184,0.34335614,0.006031689,0.021155924,0.031778898,0.184101548,0.009812748
0.031763026,0.015108256,0.23649774,0.091363312,0.131096836,0.062217464,0.090292648,0.002855103,0.027123483,0.028669998,0.279086367,0.003925767
0.018151587,0.022308438,0.425938756,0.000969932,0.012193432,0.065262574,0.25564639,0.015657475,0.018705833,0.00401829,0.159207427,0.001939864
0.007736264,0.004395604,0.320175824,0.002637363,0.281054945,0.007824176,0.25767033,0,0.007032967,0.00756044,0.100659341,0.003252747
0.089143324,0.007871601,0.257411572,0.093028011,0.111531384,0.072275608,0.177979963,0.028317318,0.034553261,0.047229605,0.056327949,0.024330403
0.050110634,0.009631654,0.147077964,0.035663152,0.215410647,0.036444097,0.196147338,0.007028504,0.043863074,0.014187166,0.215280489,0.029155278
0.112350436,0.002129386,0.23970797,0.001825188,0.055972419,0.003650375,0.383593592,0.002433583,0.003650375,0.00152099,0.186067735,0.007097952
0.022033289,0.002754161,0.442222488,0.018800144,0.094359957,0.016285475,0.276134595,0.004191115,0.004550353,0.016884205,0.095557418,0.006226799
0.017410758,0.002042603,0.220795642,0.002042603,0.036085984,0.001167202,0.344810816,0.001653536,0.006225075,0.011088416,0.350063223,0.006614143
0.010935481,0.003877125,0.184610796,0.009543692,0.129138085,0.009046625,0.477979918,0.008947211,0.005865394,0.021672134,0.133810518,0.004573019
0.026949678,0.002027188,0.354280944,0.007512521,0.19902218,0.009062724,0.227402814,0.00131171,0.00131171,0.007631767,0.156928214,0.00655855
0.006574954,0.002832288,0.308112482,0.009103783,0.062108032,0.00738418,0.404713737,0.003236901,0.003944973,0.024681368,0.163463484,0.00384382
0.01894499,0.005388025,0.349004954,0.028591292,0.077952551,0.02085687,0.250630051,0.00599635,0.003215434,0.020769966,0.218388807,0.000260711
0.009004694,0.003927579,0.21477153,0.00373599,0.091867037,0.029792126,0.353865313,0.005651882,0.003257017,0.010633202,0.271481943,0.002011687
0.035327324,0.012291724,0.181007011,0.00482564,0.022398252,0.031594282,0.516616589,0.003733042,0.008558682,0.002367295,0.180187563,0.001092598
0.014783074,0.008141403,0.42988752,0.009212641,0.136475629,0.001285485,0.284520621,0.000214247,0.00085699,0.025174076,0.088484199,0.000964114
0.010248112,0.003505933,0.312477526,0.012855088,0.089536138,0.006562388,0.131966918,0.003056455,0.003955412,0.041352032,0.379090255,0.005393743
0.012717805,0.000500701,0.39815742,0.029541358,0.052473463,0.062988183,0.314139796,0.001602243,0.014620469,0.033146405,0.074504306,0.005607851
0.076416647,0.007759229,0.186574183,0.026334352,0.030096403,0.010228074,0.399952974,0.002939102,0.012226664,0.065012932,0.180343287,0.002116153
0.062926778,0.002731379,0.255699128,0.012606366,0.157159365,0.021640929,0.320096649,0.004307175,0.001890955,0.033301817,0.124382813,0.003256645
0.00996474,0.00122643,0.460064388,0.001839644,0.108079105,0.000919822,0.19668864,0.000459911,0.004752415,0.050896827,0.164494864,0.000613215
0.056417058,0.029891859,0.141603754,0.01183432,0.129055295,0.022750459,0.414201183,0.00020404,0.027239339,0.0096919,0.150989594,0.0061212
0.028080075,0.025124278,0.329974473,0.020824936,0.081150074,0.029692328,0.276232702,0.004702405,0.019347037,0.047830176,0.127502351,0.009539164
0.171703008,0.012129286,0.050059595,0.027764145,0.040734768,0.037229194,0.21832714,0.00616981,0.03274206,0.175629251,0.212507888,0.015003856
0.065322486,0.03784931,0.28157057,0.041386629,0.051644853,0.049404551,0.231458554,0.015446292,0.023582125,0.048107534,0.128758401,0.025468695
0.004641044,0.002900653,0.367077592,0.010152284,0.035678028,0.012037708,0.510659898,0.000290065,0.001015228,0.002030457,0.030891951,0.022625091
0.093023256,0.037678891,0.152504472,0.037119857,0.100626118,0.049194991,0.301431127,0.010621646,0.027169052,0.0394678,0.137857782,0.013305009
0.022298964,0.003453379,0.367044894,0.021312284,0.049531327,0.027528367,0.422594968,0.000197336,0.002072028,0.005229403,0.077355698,0.001381352
0.043528174,0.015402277,0.26279537,0.046972161,0.041614847,0.035396537,0.309480532,0.011958289,0.033483211,0.053668803,0.134315508,0.011384292
0.023563675,0.015753243,0.225311093,0.020783691,0.039316918,0.043685465,0.340614244,0.002515224,0.023298914,0.008339952,0.247948107,0.008869473
0.037293882,0.003390353,0.342887964,0.016489444,0.08491293,0.010479273,0.242256126,0.000616428,0.004931422,0.084604716,0.168438897,0.003698567
0.109874648,0.018035303,0.193783576,0.020977232,0.021233052,0.058710668,0.259657201,0.013430545,0.009721156,0.057815298,0.226912254,0.009849066
0.059591313,0.00759602,0.175671338,0.037659142,0.025355729,0.023964909,0.313576549,0.004814379,0.028030384,0.041831604,0.278806034,0.0031026
0.024646226,0.020754717,0.2,0.051886792,0.17004717,0.037146226,0.136910377,0.001179245,0.015566038,0.015801887,0.317334906,0.008726415
